tool	size	%involved	duplicates	totaltime	time-first	n# of results
rdfizer	50k_rows	50	20	3.678748195	1.344726086	
rmlmapper	01k_rows	5	3	1.587764566	1.587764566	2022
rmlmapper	01k_rows	5	5	1.383903546	1.383903546	2012
rmlmapper	01k_rows	5	10	1.542989321	1.542989321	2006
rmlmapper	01k_rows	5	20	1.573475373	1.573475373	2003
rmlmapper	01k_rows	10	3	1.582076626	1.582076626	2045
rmlmapper	01k_rows	10	5	1.507073095	1.507073095	2024
rmlmapper	01k_rows	10	10	1.428612507	1.428612507	2011
rmlmapper	01k_rows	10	20	1.444555766	1.444555766	2006
rmlmapper	01k_rows	20	3	1.65741805	1.65741805	2089
rmlmapper	01k_rows	20	5	1.536261034	1.536261034	2048
rmlmapper	01k_rows	20	10	1.450550557	1.450550557	2022
rmlmapper	01k_rows	20	20	1.613773327	1.613773327	2011
rmlmapper	01k_rows	30	3	1.512632231	1.512632231	2134
rmlmapper	01k_rows	30	5	1.666349557	1.666349557	2072
rmlmapper	01k_rows	30	10	1.715612674	1.715612674	2033
rmlmapper	01k_rows	30	20	1.501462924	1.501462924	2016
rmlmapper	01k_rows	40	3	1.685182671	1.685182671	2178
rmlmapper	01k_rows	40	5	1.585080017	1.585080017	2096
rmlmapper	01k_rows	40	10	1.714173644	1.714173644	2044
rmlmapper	01k_rows	40	20	1.502590078	1.502590078	2021
rmlmapper	01k_rows	50	3	1.503414976	1.503414976	2222
rmlmapper	01k_rows	50	5	1.628630221	1.628630221	2120
rmlmapper	01k_rows	50	10	1.723389689	1.723389689	2055
rmlmapper	01k_rows	50	20	1.58329892	1.58329892	2027
rmlmapper	03k_rows	5	3	4.634583368	4.634583368	6067
rmlmapper	03k_rows	5	5	4.580551779	4.580551779	6036
rmlmapper	03k_rows	5	10	4.733019028	4.733019028	6017
rmlmapper	03k_rows	5	20	4.895854344	4.895854344	6008
rmlmapper	03k_rows	10	3	4.717728744	4.717728744	6134
rmlmapper	03k_rows	10	5	4.676024502	4.676024502	6072
rmlmapper	03k_rows	10	10	4.66769108	4.66769108	6033
rmlmapper	03k_rows	10	20	4.707815699	4.707815699	6016
rmlmapper	03k_rows	20	3	4.939146024	4.939146024	6267
rmlmapper	03k_rows	20	5	4.839529334	4.839529334	6144
rmlmapper	03k_rows	20	10	4.892279892	4.892279892	6066
rmlmapper	03k_rows	20	20	4.890237587	4.890237587	6032
rmlmapper	03k_rows	30	3	4.83776044	4.83776044	6400
rmlmapper	03k_rows	30	5	5.023322671	5.023322671	6216
rmlmapper	03k_rows	30	10	4.73993821	4.73993821	6099
rmlmapper	03k_rows	30	20	4.463066541	4.463066541	6048
rmlmapper	03k_rows	40	3	5.367078067	5.367078067	6534
rmlmapper	03k_rows	40	5	4.886202193	4.886202193	6288
rmlmapper	03k_rows	40	10	4.864768637	4.864768637	6132
rmlmapper	03k_rows	40	20	5.224237753	5.224237753	6063
rmlmapper	03k_rows	50	3	5.385007855	5.385007855	6667
rmlmapper	03k_rows	50	5	5.229483889	5.229483889	6360
rmlmapper	03k_rows	50	10	5.000562979	5.000562979	6165
rmlmapper	03k_rows	50	20	4.91833462	4.91833462	6079
rmlmapper	10k_rows	5	3	37.0970432	37.0970432	20222
rmlmapper	10k_rows	5	5	37.44864791	37.44864791	20120
rmlmapper	10k_rows	5	10	36.8390185	36.8390185	20055
rmlmapper	10k_rows	5	20	37.931439	37.931439	20027
rmlmapper	10k_rows	10	3	37.05760519	37.05760519	20445
rmlmapper	10k_rows	10	5	37.04036286	37.04036286	20240
rmlmapper	10k_rows	10	10	38.0525986	38.0525986	20110
rmlmapper	10k_rows	10	20	38.43167268	38.43167268	20053
rmlmapper	10k_rows	20	3	38.69174167	38.69174167	20889
rmlmapper	10k_rows	20	5	38.47668322	38.47668322	20480
rmlmapper	10k_rows	20	10	38.11423715	38.11423715	20220
rmlmapper	10k_rows	20	20	39.00194432	39.00194432	20105
rmlmapper	10k_rows	30	3	40.08556841	40.08556841	21334
rmlmapper	10k_rows	30	5	40.04876142	40.04876142	20720
rmlmapper	10k_rows	30	10	40.5605198	40.5605198	20330
rmlmapper	10k_rows	30	20	39.29907079	39.29907079	20158
rmlmapper	10k_rows	40	3	40.45981486	40.45981486	21778
rmlmapper	10k_rows	40	5	41.22498896	41.22498896	20960
